"国&地域","タイトル","URL","概要","選定理由","カテゴリ"
"中国・北京/山東","王久良（Wang Jiuliang）「垃圾围城（Beijing Besieged by Waste）」","https://icarusfilms.com/df-bsieg","北京を取り囲む460以上の非公式ごみ捨て場をGPSでマッピングし、写真・地図・映画を横断して「都市を包囲するゴミ」を可視化した調査報道型アート。続く「Plastic China」は廃プラ輸入の実態を描き、2017年の政策転換の世論形成に影響したとされる（メディア発）。","現地を歩いて見つけたごみ捨て場をGoogleマップに落とし込む調査の型。藤クリーンでも「現場を地図に積む」ローカル記録の手本にできそう。","メディア表現（ドキュメンタリー・写真・地図）"
"英国・ブライトン","GOMI（gomi design）","https://gomi.design/","自治体が「リサイクル不可」とする軟質プラごみをマーブル模様の筐体に成形し、廃バッテリーを再利用したBluetoothスピーカーやモバイルバッテリーを作る。ブランド名は日本語の「ゴミ」由来。","捨てられない軟プラでスピーカー本体を作っている。ゴミの筐体に中身を入れる最小プロトタイプとして、そのまま試せそう。","プロダクト（電子機器×廃プラ）"
"ケニア・ナイロビ","Cyrus Kabiru「C-Stunners」","https://www.designindaba.com/videos/creative-work/kenyan-artist-creates-eccentric-eyeglasses-electronic-waste","路上・ごみ捨て場で集めたe-wasteや廃品で彫刻的な眼鏡を作り、自ら装着して写真作品化する。「眼鏡＝視点の道具」をごみで作る自己言及性が核。","拾った廃品で身につけるものを作り、着けて見せる。触って持てるゴミ作品の入り口にしやすい。","アートワーク（ウェアラブル彫刻・写真）"
"日本・福岡県糸島市拠点","藤浩志「かえっこ」/「Jurassic Plastic（ToySaurus）」","https://www.fujistudio.co/kaekko-1","家庭の廃プラ玩具を、子どもだけの通貨「カエルポイント」で循環させる遊びの仕組み「かえっこ」を考案し、交換されず残った玩具の山を色別選別して恐竜の巨大オブジェに組む。","子ども通貨で廃プラ玩具を回す参加の仕組み。ポイントや交換ルールを借りて、現場イベントに転用できそう。","アートワーク＋参加システム"
"オランダ・アムステルダム","Plastic Whale","https://plasticwhale.com/plastic-fishing/","運河のプラごみを「釣り」、獲れ高と珍品を競うゲーム化された清掃体験を提供する世界初の「プロのプラスチック釣り会社」。","川のプラを釣って獲れ高を競う体験。ツアーで「集めた量を見せる」ゲーム化の参考になる。","現場×体験（プロダクト連動）"
"ブラジル・サンパウロ","Mundano / Pimp My Carroça","https://cataki.org/","廃品回収人（カタドール）の手押し車をアーティストが補修・彩色して路上の作品に変え、健康・心理支援まで束ねる自走型ムーブメント。回収人と市民をつなぐアプリ「Cataki」も派生した。","回収人と出したい人をアプリでつなぐ。地図とマッチングを組み合わせた「人×ごみ×場所」の実装例。","ストリートアート＋社会運動"
"オランダ・アイントホーフェン発 → 世界","Precious Plastic","https://www.preciousplastic.com/","小型プラ再生機械の設計図をオープンソース化し、世界100カ国超・500拠点超のDIYリサイクル網を形成。","再生機械の設計を公開し、各自で作って使う。小さなワークショップ機材を内製する時の参照になる。","プロダクト（オープンソース機械/ムーブメント）"
"台湾・台北","Miniwiz（小智研發）「Trashpresso」「EcoARK」","https://www.miniwiz.com/","太陽光駆動の移動式リサイクル工場「Trashpresso」をコンテナに収めて運ぶ「機械のツアー化」を実践。廃棄物由来素材1,200種以上をデータベース化。","廃材を素材データベース化し、移動式の再生ラインも回す。素材の名前と来歴を記録する仕組みを借りられそう。","プロダクト（素材開発）＋メディア表現（建築）"
"中国・北京/深圳","堅果兄弟（Nut Brother）「塵埃計画（Project Dust）」","https://actipedia.org/project/chinas-vacuum-cleaner-artist-turning-beijings-smog-bricks","工業用掃除機を押して北京を100日間歩き、吸引した大気中の粉塵約100gを粘土と混ぜて1個のレンガに焼成した。","掃除機で集めた粉塵をレンガ1個に固める。見えない汚染を「触れる一粒」に変える演出が真似しやすい。","アートワーク（パフォーマンス）"
"米国・ニューヨーク","Treasures in the Trash（ネルソン・モリーナ・コレクション）","https://www.sanitationfoundation.org/m11-treasures-in-the-trash","清掃員が34年間の収集業務中にごみから救い出した約4万点を、現役清掃車庫の2階に陳列した非公式ミュージアム。","現場で拾った物を分類して並べる、清掃所内の私設ミュージアム。一般公開は限定的（現在は常時ツアー非実施）だが、収集品の分類・キュレーションの見せ方は参考にできそう。","現場×私設博物館（キュレーション）"
"南アフリカ・ヨハネスブルグ","Mbongeni Buthelezi","https://www.cnn.com/style/article/mbongeni-buthelezi-plastic-artist-south-africa-spc-intl/index.html","拾った廃ビニールをヒートガンで溶かして「絵具として塗る」独自技法で、色付きプラ袋だけでポートレートを描く「プラスチックの油彩画」を制作する。","廃ビニールを熱で溶かして絵の具代わりにする。加熱ツールと廃プラで、その場表現ができそう。","アートワーク（絵画）"
"日本・大阪/東京","三島喜美代","https://www.neribun.or.jp/event/detail_m.cgi?id=202401281706414617","新聞・空き缶・段ボールなどの「ゴミ」を陶に転写して焼成する「割れる印刷物」を1970年代から制作。産業廃棄物の溶融スラグを素材にした作品もある。","新聞や空き缶など日常のゴミを陶に転写して焼く技法。窯や陶芸の専門技術を要するため即座の模倣は難しいが、『素材を別素材に写し取って残す』という発想自体は参考にできそう。","アートワーク（陶/転写）"
"日本・東京","藤元明「NEW RECYCLE」/「海ごみのあと」","https://prtimes.jp/main/html/rd/p/000000031.000015900.html","リサイクルマークを作品として更新する概念プロジェクト「NEW RECYCLE」で廃棄物の「価値の転換」自体をテーマ化し、浜辺で海洋プラを現地で溶かし固めるシリーズなど素材と場所の結び付け方が独自。","海洋ごみを浜辺で現地に溶かして固める『Last Hope』シリーズ。拾ったその場で加工して見せる手法が参考になる。","アートワーク（コンセプチュアル）"
"ポルトガル・リスボン","Bordalo II「Big Trash Animals」","https://www.bordaloii.com/","街のゴミ（バンパー・タイヤ・家電）で「その汚染の被害者である動物」の巨大レリーフを世界中の壁に制作する。","街で集めたごみを動物の像に組む。大量の廃品を手で積み上げる造形の強度と見せ方が参考になる。","アートワーク（ストリートアート）"
"カナダ / ケニア・ナイロビ","Benjamin Von Wong「Turn Off the Plastic Tap」","https://www.thisiscolossal.com/2022/03/benjamin-von-wong-plastic-tap/","高さ約9mの巨大蛇口からプラごみが流れ出るインスタレーションを国連会議の場に設置し、条約交渉に直接介入する。","巨大な蛇口からプラが溢れる装置を会議の場に置いて話題にした。場所・タイミング・量で印象づける方法が借りられる。","アートワーク（インスタレーション/キャンペーン）"
